Date,wind_generation_actual,wind_capacity,temperature
7/26/2017,248694,40089.333,16.076
7/27/2017,176047,40143.333,17.181
7/28/2017,287307,40213.917,17.072
7/29/2017,293624,40225.167,19.722
7/30/2017,327095,40242.167,21.611
7/31/2017,125194,40288.833,20.973
8/1/2017,100078,40298,21.36
8/2/2017,103491,40298.417,20.93
8/3/2017,402364,40303,21.525
8/4/2017,455380,40303,19.737
8/5/2017,232880,40303,18.367
8/6/2017,168418,40303,16.519
8/7/2017,123846,40304,17.998
8/8/2017,247468,40315.833,18.359
8/9/2017,208820,40326.333,18.011
8/10/2017,100274,40341.333,16.289
8/11/2017,108575,40346.333,14.753
8/12/2017,305906,40361,15.342
8/13/2017,101263,40361.25,16.609
8/14/2017,136418,40365.083,18.427
8/15/2017,182062,40378.25,20.711
8/16/2017,68591,40393.833,19.274
8/17/2017,207759,40415.167,19.839
8/18/2017,190790,40428.583,19.022
8/19/2017,362034,40435,15.404
8/20/2017,314055,40435.5,14.424
8/21/2017,211871,40441.917,15.157
8/22/2017,87145,40453.583,15.645
8/23/2017,83430,40473.583,17.579
8/24/2017,188631,40503.167,18.356
8/25/2017,84579,40516.333,19.113
8/26/2017,51278,40520.5,20.14
8/27/2017,130054,40526.5,18.854
8/28/2017,45221,40534.167,18.938
8/29/2017,98155,40561.917,20.751
8/30/2017,190434,40608.417,21.566
8/31/2017,208496,40647.167,17.007
9/1/2017,34230,40660.417,14.006
9/2/2017,37368,40665.833,12.999
9/3/2017,26176,40676.083,13.438
9/4/2017,81042,40689.75,14.697
9/5/2017,107605,40710.417,17.145
9/6/2017,409909,40726.917,16.057
9/7/2017,328329,40739.667,13.986
9/8/2017,516672,40769.167,13.931
9/9/2017,276055,40771,13.844
9/10/2017,307770,40771.917,13.336
9/11/2017,576260,40782.917,13.438
9/12/2017,460805,40793.917,12.688
9/13/2017,761748,40805,13.654
9/14/2017,633356,40819.833,11.868
9/15/2017,316345,40862.833,11.349
9/16/2017,68909,40872.25,10.454
9/17/2017,25429,40875.5,10.61
9/18/2017,55374,40884.167,10.298
9/19/2017,86278,40922.667,10.474
9/20/2017,137562,40964.5,10.905
9/21/2017,45207,40983,12.086
9/22/2017,16482,41006.083,13.05
9/23/2017,28876,41018.5,13.081
9/24/2017,53473,41028.583,13.065
9/25/2017,104589,41082.417,12.732
9/26/2017,139097,41124.167,13.02
9/27/2017,144546,41178.583,13.839
9/28/2017,132504,41283.917,14.763
9/29/2017,177384,41407.583,15.96
9/30/2017,198304,41447,14.196
10/1/2017,218240,41447.25,11.631
10/2/2017,574756,41450,12.96
10/3/2017,459133,41450,11.662
10/4/2017,642752,41450,10.588
10/5/2017,742247,41450.5,10.756
10/6/2017,580860,41456,9.048
10/7/2017,646636,41456,9.424
10/8/2017,302850,41456.25,9.961
10/9/2017,164782,41459,9.161
10/10/2017,331486,41459.417,11.132
10/11/2017,521617,41464.25,12.777
10/12/2017,616932,41467.583,12.106
10/13/2017,297711,41474.25,12.648
10/14/2017,293480,41477,14.315
10/15/2017,224279,41477.25,13.941
10/16/2017,251438,41480.583,14.808
10/17/2017,260015,41487.417,14.253
10/18/2017,64254,41492.667,12.798
10/19/2017,160673,41501.417,12.784
10/20/2017,351582,41517.25,12.363
10/21/2017,285417,41520,11.676
10/22/2017,424765,41520,8.834
10/23/2017,258994,41520.417,8.526
10/24/2017,290403,41525.333,10.969
10/25/2017,454958,41530.833,12.635
10/26/2017,327707,41551.917,11.602
10/27/2017,528190,41562.25,9.523
10/28/2017,819820,41565.25,8.441
10/29/2017,720109,41568,8.108
10/30/2017,407048,41568.125,5.063
10/31/2017,256958,41571,5.615
11/1/2017,420446,41571.375,7.992
11/2/2017,336744,41580.708,8.555
11/3/2017,115926,41597.167,7.538
11/4/2017,309378,41601.208,8.249
11/5/2017,259370,41606.333,7.202
11/6/2017,98415,41614.583,4.497
11/7/2017,148783,41628.875,4.272
11/8/2017,62667,41650,5.312
11/9/2017,210486,41673.708,5.322
11/10/2017,627817,41690,5.185
11/11/2017,530921,41690.208,4.522
11/12/2017,235424,41695.292,3.348
11/13/2017,205070,41702.25,2.895
11/14/2017,294483,41709.042,2.71
11/15/2017,98028,41734.042,3.859
11/16/2017,179490,41759.583,3.422
11/17/2017,204464,41796.333,3.228
